"Type","Category","Month","Weekday","Hour","Reach","Impressions","EngagedUsers","Consumers","Consumptions"
"Photo",2,12,4,"0-5",2752,5091,178,109,159
"Status",2,12,3,"6-11",10460,19057,1457,1361,1674
"Photo",3,12,3,"0-5",2413,4373,177,113,154
"Photo",2,12,2,"6-11",50128,87991,2211,790,1119
"Photo",2,12,2,"0-5",7244,13594,671,410,580
"Status",2,12,1,"6-11",10472,20849,1191,1073,1389
"Photo",3,12,1,"0-5",11692,19479,481,265,364
"Photo",3,12,7,"6-11",13720,24137,537,232,305
"Status",2,12,7,"0-5",11844,22538,1530,1407,1692
"Photo",3,12,6,"6-11",4694,8668,280,183,250
"Status",2,12,5,"6-11",21744,42334,4258,4100,4540
"Photo",2,12,5,"6-11",3112,5590,208,127,145
"Photo",2,12,5,"6-11",2847,5133,193,115,133
"Photo",2,12,5,"0-5",2549,4896,249,134,168
"Photo",2,12,4,"0-5",22784,39941,887,337,417
"Status",2,12,3,"6-11",10060,19680,1264,1209,1425
"Photo",3,12,3,"0-5",1722,2981,163,123,148
"Photo",1,12,2,"12-17",53264,111785,1706,1103,1655
"Status",3,12,2,"0-5",3930,7509,130,86,112
"Photo",3,12,1,"6-11",1591,2825,121,88,111
"Photo",2,12,1,"0-5",2848,5066,200,142,184
"Photo",1,12,7,"6-11",1384,2467,15,15,20
"Link",1,12,7,"6-11",3454,6853,118,104,130
"Photo",3,12,7,"0-5",2723,4888,176,118,143
"Status",2,12,6,"6-11",8488,15294,1341,1270,1489
"Status",2,12,6,"0-5",8284,15104,1521,1462,1711
"Status",2,12,5,"6-11",19552,34143,2806,2531,3420
"Photo",3,12,5,"0-5",2478,4306,212,124,149
"Photo",2,12,5,"0-5",9560,18264,973,559,885
"Video",1,12,4,"6-11",36208,61262,1141,1068,1728
"Photo",2,12,4,"0-5",4940,9390,385,306,501
"Photo",2,12,3,"6-11",1683,2929,192,171,221
"Photo",3,12,3,"0-5",5280,9578,368,237,345
"Photo",3,12,2,"6-11",3002,5318,268,185,247
"Photo",1,12,2,"0-5",3766,7149,298,260,431
"Photo",2,12,1,"6-11",4512,7808,423,284,431
"Photo",3,12,1,"0-5",2690,4628,252,168,226
"Photo",1,12,7,"6-11",19800,28663,479,424,805
"Status",2,12,7,"6-11",17576,33058,5352,5202,6547
"Photo",1,12,7,"0-5",3290,6085,306,284,402
"Status",2,12,6,"6-11",13280,24198,2055,1912,2720
"Link",1,12,6,"0-5",18480,28438,517,366,460
"Photo",1,12,5,"6-11",7268,13989,2087,2079,12074
"Link",1,12,5,"0-5",2645,4270,134,109,170
"Photo",1,12,4,"6-11",4284,8387,355,316,513
"Link",1,12,4,"0-5",7968,13023,206,158,223
"Status",1,12,3,"6-11",16576,30612,3572,3464,4802
"Link",1,12,3,"0-5",1925,3481,97,83,126
"Photo",1,12,2,"6-11",3786,7329,338,283,450
"Link",1,12,2,"0-5",1536,3094,84,76,99
"Photo",2,11,1,"6-11",1728,3155,108,65,95
"Photo",1,11,1,"0-5",25248,40125,726,467,863
"Photo",1,11,7,"6-11",4894,8899,355,181,264
"Photo",1,11,7,"0-5",2935,5439,237,182,401
"Photo",1,11,6,"6-11",2425,4462,260,213,433
"Video",1,11,6,"0-5",16416,31950,459,411,539
"Photo",1,11,5,"6-11",5812,10465,343,204,301
"Photo",1,11,5,"0-5",2545,4846,165,131,167
"Photo",1,11,4,"6-11",2257,4372,230,173,327
"Photo",1,11,4,"0-5",27072,84885,421,304,487
"Photo",1,11,3,"6-11",10940,27951,417,335,591
"Photo",1,11,3,"0-5",50912,164528,630,513,952
"Photo",1,11,2,"6-11",28752,47358,802,654,1268
"Photo",1,11,2,"0-5",27216,81908,541,335,540
"Photo",1,11,1,"6-11",2352,5234,232,182,258
"Photo",1,11,1,"0-5",3416,6167,356,298,641
"Photo",1,11,7,"6-11",2149,4120,197,156,219
"Photo",1,11,7,"0-5",53456,93790,1576,995,1469
"Photo",1,11,6,"6-11",2168,3891,211,168,202
"Photo",1,11,6,"0-5",3102,5939,360,288,512
"Photo",1,11,5,"6-11",39344,103050,588,460,695
"Video",1,11,5,"0-5",100768,220447,2101,1735,2331
"Status",3,11,4,"6-11",9056,16362,1006,847,1153
"Photo",1,11,4,"0-5",11444,46054,555,418,717
"Video",1,11,3,"6-11",13544,30235,517,458,667
"Photo",1,11,3,"0-5",37376,68610,1150,808,1341
"Photo",1,11,3,"0-5",1228,2392,17,17,19
"Photo",1,11,1,"6-11",22984,59040,438,374,542
"Photo",2,11,1,"0-5",1445,2774,217,167,211
"Photo",1,11,7,"12-17",3754,8533,658,640,2085
"Status",2,11,7,"0-5",8728,17827,2295,2235,2828
"Photo",3,11,6,"6-11",5990,11123,657,361,512
"Photo",1,11,6,"0-5",4582,9193,454,306,431
"Photo",3,11,5,"6-11",2938,5799,321,243,379
"Status",3,11,5,"0-5",6692,13092,199,108,141
"Photo",1,11,4,"6-11",2566,5244,384,280,469
"Link",1,11,4,"0-5",21176,54779,330,228,329
"Photo",3,11,3,"6-11",4012,7955,550,319,477
"Photo",1,11,3,"0-5",1531,2838,212,189,1359
"Photo",1,11,2,"6-11",2938,6056,374,283,483
"Photo",1,11,2,"0-5",24720,37240,845,564,850
