"Type","Month","Weekday","Reach","Impressions","EngagedUser","Consumers","Consumptions","EngagedUserRate","ConversionRate","ConsumptionRate"
"Link",1,2,5168,8371,66,59,71,0.0127708978328173,0.0114164086687307,0.0137383900928793
"Link",1,4,4938,7910,66,63,70,0.0133657351154313,0.0127582017010936,0.0141757796678817
"Link",1,5,45920,5808,753,655,763,0.0163980836236934,0.01426393728223,0.0166158536585366
"Link",1,6,39600,7927,572,496,581,0.0144444444444444,0.0125252525252525,0.0146717171717172
"Link",2,3,9356,14986,448,381,505,0.0478837109876015,0.0407225309961522,0.0539760581445062
"Link",3,1,6876,10885,282,245,337,0.0410122164048866,0.035631180919139,0.0490110529377545
"Link",3,6,5730,10083,103,71,97,0.0179755671902269,0.01239092495637,0.0169284467713787
"Link",3,7,2933,5144,24,23,26,0.00818274803954995,0.0078418002045687,0.00886464370951244
"Link",4,2,70912,94172,1374,1106,1267,0.0193761281588448,0.0155967960288809,0.0178672157039711
"Link",4,5,35360,45260,339,325,477,0.00958710407239819,0.00919117647058824,0.0134898190045249
"Link",4,6,34192,42092,338,322,389,0.00988535329901731,0.00941740758072064,0.011376930276088
"Link",5,1,12540,19301,344,322,396,0.0274322169059011,0.0256778309409888,0.0315789473684211
"Link",10,4,68992,229733,1032,975,1345,0.0149582560296846,0.014132073283859,0.0194950139146568
"Link",10,5,4664,9463,204,182,251,0.0437392795883362,0.0390222984562607,0.0538164665523156
"Link",10,6,3616,6887,111,90,118,0.0306969026548673,0.0248893805309735,0.0326327433628319
"Link",11,4,21176,54779,330,228,329,0.0155836796373253,0.0107669059312429,0.015536456365697
"Link",12,2,1536,3094,84,76,99,0.0546875,0.0494791666666667,0.064453125
"Link",12,3,1925,3481,97,83,126,0.0503896103896104,0.0431168831168831,0.0654545454545455
"Link",12,4,7968,13023,206,158,223,0.0258534136546185,0.0198293172690763,0.0279869477911647
"Link",12,5,2645,4270,134,109,170,0.0506616257088847,0.0412098298676749,0.0642722117202268
"Link",12,6,18480,28438,517,366,460,0.0279761904761905,0.0198051948051948,0.0248917748917749
"Link",12,7,3454,6853,118,104,130,0.034163288940359,0.0301100173711639,0.0376375217139548
"Photo",1,1,18354,29481,3156,3041,4028,0.171951618175874,0.165685954015473,0.219461697722567
"Photo",1,2,5040,8367,1062,1023,1348,0.210714285714286,0.20297619047619,0.267460317460317
"Photo",1,3,72310,18235,4065,3891,5044,0.0562162909694371,0.0538099847877195,0.0697552205780667
"Photo",1,4,19828,35552,2952,2733,4316,0.148880371192253,0.137835384305023,0.217671979019568
"Photo",1,5,18850,32515,3420,3257,4370,0.181432360742706,0.172785145888594,0.23183023872679
"Photo",1,6,54306,39135,5814,5243,7012,0.107059993370898,0.0965455014178912,0.129120170883512
"Photo",1,7,24584,41950,3925,3673,5273,0.159656687276277,0.149406117800195,0.214489098600716
